Comment,Sentiment,Food,Service,Value,Ambience,Cleanliness,Amenities,Hospitality,Location,Front-Desk,Room
"Excellent Hotel, Fastest Check In & Check Out. Very Co-Operative staff. Rooms are too good. Buffet breakfast was fantastic especially the Cold Coffee served in Glass Jar. Overall its the right pace for stay with your loved ones Or business trips.",0,1,3,3,3,3,3,1,3,3,1
"Excellent location, good room, nice facilities, one of the best hotel I stayed. Check in and check out was hassle less. Buffet was great. Nice roof top swimming pool. Great ambience. Wonderful customer service.",1,1,1,3,1,3,1,3,1,3,1
Great experience. Suite with spacious foyer and sleep area isolated well from rest of room makes it an ideal stay. Equipped with all facilities for a luxury stay. One should definitely experience it. Worthy,0,3,3,3,3,3,1,3,3,3,1
It was Good Stay and I enjoyed food. Location is easy to identify. View from room is Awesome. Thanks to those working in restaurant. Overall I enjoyed trip to Banglore. Will go again soon. Thanks to Davanam staff,0,0,3,3,3,3,3,1,1,3,1
"Enjoyed the stay very much. Lovely stay good facilities. Nice location, good staff, big room & good deal. Apt for romantic trip. Love to book again if I get similar deals. Always first reference. Enjoyed.",1,3,3,0,3,3,1,3,1,3,0
"I have stayed here earlier also and because of the best experience I had, I chose to stay once again. Rooms are quite big and well maintained. Staff are courteous and willing to help their customers. Everyone wears a smile on their face whenever they meet a guest. Can't forget to mention one of their staff members Pooja (who manages Restaurant services). If you give her any feedback she will work on it immediately. Would love to come here again. Thank you Team Davanam Sarovar for making my stay comfortable.   ",0,3,3,3,3,3,3,1,3,3,3
"Overall experience was good. The food & service was excellent. The Location, Service, Food all of the Three has to be given a 5 Star rating. The room size was also big enough having some basic kitchen facilities. Looking forward to stay there again shortly.",1,1,1,3,3,3,0,3,1,3,3
"Not even a single thing to complain about. Service to Cleanliness to Staff behavior to Rooms quality .. Everything EXCELLENT! The best part was room, big & spacious with proper space optimization. Wonderful!",1,3,1,3,3,1,3,1,3,3,1
This is knew of the best hotels I have stayed in. The rooms are like suits. Really amazing knew and total value for money. I did not expect the hotel to be this amazing but wanted to review it for the people to visit in and have a amazing stay. For me it was a business trip but is a place where you can go for a pampering stay. The rooms are more better in real then the images uploaded by the hotel guys. See the images I clicked will give you a better understanding.  ,0,3,3,1,3,3,3,3,3,3,1
"Great staff. (Karthik, meenu, pooja) superb service. Great food. Swimming look is nice. Clean and well-maintained property. The gym too is good, has majority of equipments. Location might be an issue but it's weights less once you check in and feel warm.",1,1,1,3,3,3,1,1,2,3,3
